video_time_s,main_2300_2700_hz,chirp_2880_3060_hz
3.953000,0.000359050,0.000430744
3.955000,0.000466424,0.000199612
3.957000,0.000570482,0.000223689
3.959000,0.000264386,0.000206223
3.961000,0.000370887,0.000132576
3.963000,0.000425100,0.000048032
3.965000,0.000440134,0.000127785
3.967000,0.000667603,0.000134613
3.969000,0.000314586,0.000052867
3.971000,0.000353687,0.000106764
3.973000,0.000396275,0.000091562
3.975000,0.000244538,0.000048475
3.977000,0.000271130,0.000179008
3.979000,0.000477775,0.000284005
3.981000,0.000613168,0.000245487
3.983000,0.000753502,0.000136083
3.985000,0.000344225,0.000421601
3.987000,0.000238063,0.000713659
3.989000,0.000219577,0.000852772
3.991000,0.000610708,0.001051484
3.993000,0.000539732,0.001528668
3.995000,0.000311982,0.001467603
3.997000,0.000765900,0.001390394
3.999000,0.000289955,0.005871901
4.001000,0.000205499,0.011780228
4.003000,0.000401342,0.016515504
4.005000,0.000635709,0.018759971
4.007000,0.000373019,0.019047837
4.009000,0.000477235,0.018727034
4.011000,0.000232631,0.018712674
4.013000,0.000516274,0.019048440
4.015000,0.000588492,0.019313009
4.017000,0.000360810,0.019257920
4.019000,0.000201464,0.018953606
4.021000,0.000152117,0.018566769
4.023000,0.000120300,0.018248603
4.025000,0.000396681,0.018118974
4.027000,0.000556522,0.018241595
4.029000,0.000323365,0.018641026
4.031000,0.000471082,0.019223103
4.033000,0.000381469,0.019697790
4.035000,0.000166387,0.019811787
4.037000,0.000204213,0.019634902
4.039000,0.000215582,0.019448145
4.041000,0.000453485,0.019386001
4.043000,0.000425271,0.019306650
4.045000,0.000253851,0.019025059
4.047000,0.000517820,0.018615286
4.049000,0.000361411,0.018385568
4.051000,0.000210202,0.018522198
4.053000,0.000442420,0.018882962
4.055000,0.000476634,0.019192363
4.057000,0.000195716,0.019300009
4.059000,0.000450031,0.019256850
4.061000,0.000400150,0.019227310
4.063000,0.000499550,0.019271793
4.065000,0.000234428,0.019247640
4.067000,0.000243838,0.019010658
4.069000,0.000619922,0.018602344
4.071000,0.000639210,0.018201843
4.073000,0.000303891,0.017953796
4.075000,0.000329959,0.017859249
4.077000,0.000272066,0.017854715
4.079000,0.000482498,0.017911653
4.081000,0.000249055,0.017986867
4.083000,0.000257535,0.017975012
4.085000,0.000304840,0.017800453
4.087000,0.000427014,0.017537705
4.089000,0.000170637,0.017462812
4.091000,0.000312717,0.017803859
4.093000,0.000278613,0.018215124
4.095000,0.000412999,0.017671574
4.097000,0.000365035,0.015107671
4.099000,0.000506183,0.010428153
4.101000,0.000658970,0.005061366
4.103000,0.000283530,0.001137180
4.105000,0.000318912,0.001087321
4.107000,0.000460515,0.001133000
4.109000,0.000465611,0.000582650
4.111000,0.000478618,0.000195516
4.113000,0.000322867,0.000198317
4.115000,0.000426998,0.000332793
4.117000,0.000657376,0.000415220
4.119000,0.000408428,0.000445945
4.121000,0.000655512,0.000434737
4.123000,0.001187936,0.000347681
4.125000,0.001086024,0.000227126
4.127000,0.000566972,0.000265555
4.129000,0.000304932,0.000370536
4.131000,0.000317593,0.000384368
4.133000,0.000655277,0.000382850
4.135000,0.000674622,0.000507811
4.137000,0.000473928,0.000634090
4.139000,0.000454773,0.000631037
4.141000,0.001050025,0.000567318
4.143000,0.000710329,0.000530069
4.145000,0.000367793,0.000458897
4.147000,0.000565872,0.000322690
4.149000,0.000401913,0.000242830
4.151000,0.000582845,0.000311430
4.153000,0.000454802,0.000374944
4.155000,0.000371919,0.000391689
4.157000,0.000188513,0.000399321
4.159000,0.000407557,0.000399154
4.161000,0.000274386,0.000346614
4.163000,0.000397487,0.000243096
4.165000,0.000526459,0.000124938
4.167000,0.000294679,0.000049285
4.169000,0.000341723,0.000149191
4.171000,0.000385847,0.000253752
4.173000,0.000453217,0.000257301
4.175000,0.000534735,0.000166586
4.177000,0.000425206,0.000299022
4.179000,0.000699034,0.000502096
4.181000,0.000587788,0.000493045
4.183000,0.000389194,0.000281060
4.185000,0.000287845,0.000198798
4.187000,0.000698868,0.000343114
4.189000,0.000615545,0.000338111
4.191000,0.000521990,0.000173074
4.193000,0.000565383,0.000083296
4.195000,0.000559005,0.000143816
4.197000,0.000460464,0.000110784
4.199000,0.000651753,0.000173752
4.201000,0.000850482,0.000296217
4.203000,0.000571487,0.000302640
4.205000,0.000498907,0.000195024
4.207000,0.000996594,0.000171182
4.209000,0.000822187,0.000228224
4.211000,0.000265432,0.000246124
4.213000,0.000631736,0.000279920
4.215000,0.000560997,0.000312346
4.217000,0.000304180,0.000284392
4.219000,0.000441603,0.000197075
4.221000,0.000411044,0.000142806
4.223000,0.000433388,0.000158654
4.225000,0.000488138,0.000202781
4.227000,0.000834484,0.000242258
4.229000,0.000439272,0.000248709
4.231000,0.000757445,0.000226493
4.233000,0.000661826,0.000179060
4.235000,0.000144881,0.000132905
4.237000,0.000230236,0.000140326
4.239000,0.000249830,0.000235926
4.241000,0.000630322,0.000336835
4.243000,0.000657738,0.000353854
4.245000,0.000218813,0.000283473
4.247000,0.000401095,0.000167904
4.249000,0.000329250,0.000158839
4.251000,0.000707986,0.000251415
4.253000,0.000694446,0.000305471
4.255000,0.000249602,0.000307102
4.257000,0.000204642,0.000286779
4.259000,0.000533000,0.000242907
4.261000,0.000631157,0.000219289
4.263000,0.000317080,0.000360570
4.265000,0.000382245,0.000456223
4.267000,0.000445594,0.000414342
4.269000,0.000334790,0.000288490
4.271000,0.000258646,0.000249483
4.273000,0.000570234,0.000300015
4.275000,0.000350571,0.000279672
4.277000,0.000837267,0.000200666
4.279000,0.000872030,0.000099192
4.281000,0.000477253,0.000043445
4.283000,0.000459831,0.000048863
4.285000,0.000457251,0.000039521
4.287000,0.000426681,0.000020773
4.289000,0.000748357,0.000076181
4.291000,0.000814520,0.000209612
4.293000,0.001405363,0.000323188
4.295000,0.007036797,0.000334974
4.297000,0.013885536,0.000233364
4.299000,0.019588937,0.000118771
4.301000,0.021181024,0.000184661
4.303000,0.019519723,0.000256165
4.305000,0.017226594,0.000209081
4.307000,0.019889532,0.000238169
4.309000,0.023077536,0.000358661
4.311000,0.022534465,0.000393667
4.313000,0.021518062,0.000401265
4.315000,0.021913615,0.000465397
4.317000,0.022480264,0.000555845
4.319000,0.023053332,0.000608167
4.321000,0.022746962,0.000592167
4.323000,0.023698186,0.000497829
4.325000,0.024166682,0.000363040
4.327000,0.024138550,0.000244810
4.329000,0.023027164,0.000157489
4.331000,0.022610748,0.000085760
4.333000,0.022795475,0.000030730
4.335000,0.022577786,0.000006304
4.337000,0.022142218,0.000007355
4.339000,0.022748412,0.000007978
4.341000,0.023724329,0.000006485
4.343000,0.022309366,0.000010059
4.345000,0.016102413,0.000007917
4.347000,0.008390569,0.000010031
4.349000,0.005090258,0.000005240
4.351000,0.004944345,0.000005610
4.353000,0.005712586,0.000004092
4.355000,0.008028756,0.000005690
4.357000,0.007366730,0.000009930
4.359000,0.004661244,0.000020150
4.361000,0.003980495,0.000028813
4.363000,0.006401159,0.000030933
4.365000,0.006924790,0.000016311
4.367000,0.005649293,0.000029094
4.369000,0.004922015,0.000094577
4.371000,0.004562470,0.000167617
4.373000,0.003353549,0.000224398
4.375000,0.002605370,0.000285619
4.377000,0.003343224,0.000382009
4.379000,0.004262086,0.000444883
4.381000,0.003485547,0.000394693
4.383000,0.003667359,0.000376676
4.385000,0.003521382,0.000515502
4.387000,0.002662893,0.000497807
4.389000,0.002328624,0.000249277
4.391000,0.002738185,0.000400923
4.393000,0.007639479,0.000660298
4.395000,0.014834135,0.000649843
4.397000,0.021358603,0.000488462
4.399000,0.021927842,0.000307579
4.401000,0.020228136,0.000130244
4.403000,0.016866013,0.000157881
4.405000,0.016493612,0.000300846
4.407000,0.018918866,0.000355534
4.409000,0.020595122,0.000319208
4.411000,0.019121581,0.000237570
4.413000,0.017898387,0.000147263
4.415000,0.019778663,0.000071874
4.417000,0.021522460,0.000024346
4.419000,0.022014714,0.000003689
4.421000,0.022301472,0.000003238
4.423000,0.022653279,0.000003496
4.425000,0.022975825,0.000002702
4.427000,0.023786168,0.000001670
4.429000,0.023941303,0.000000633
4.431000,0.023491980,0.000001036
4.433000,0.023569702,0.000001787
4.435000,0.023290489,0.000003901
4.437000,0.023451907,0.000005496
4.439000,0.023606075,0.000006421
4.441000,0.021729631,0.000016325
4.443000,0.017968866,0.000025573
4.445000,0.011318644,0.000031651
4.447000,0.007564097,0.000063749
4.449000,0.007841357,0.000094129
4.451000,0.009181402,0.000106074
4.453000,0.011399345,0.000144236
4.455000,0.009532332,0.000171854
4.457000,0.005951622,0.000170336
4.459000,0.004694842,0.000191601
4.461000,0.005621353,0.000190726
4.463000,0.007060679,0.000198136
4.465000,0.006749048,0.000236798
4.467000,0.004303777,0.000220034
4.469000,0.004773993,0.000193626
4.471000,0.003708766,0.000283135
4.473000,0.002624773,0.000350562
4.475000,0.003056812,0.000239512
4.477000,0.003639447,0.000156428
4.479000,0.004379977,0.000388401
4.481000,0.003982455,0.000479815
4.483000,0.003570394,0.000498224
4.485000,0.002926754,0.000576519
4.487000,0.002304882,0.000524059
4.489000,0.003188045,0.000402867
4.491000,0.007176856,0.000530561
4.493000,0.013708698,0.000639143
4.495000,0.019882454,0.000544611
4.497000,0.021201980,0.000361396
4.499000,0.019884868,0.000216931
4.501000,0.016632468,0.000106391
4.503000,0.015802670,0.000026122
4.505000,0.019217276,0.000028640
4.507000,0.020336658,0.000024426
4.509000,0.018534186,0.000007751
4.511000,0.017324428,0.000008643
4.513000,0.017577427,0.000011987
4.515000,0.019487629,0.000008941
4.517000,0.020519202,0.000009440
4.519000,0.021598541,0.000009167
4.521000,0.022760873,0.000006394
4.523000,0.024263685,0.000005037
4.525000,0.024889485,0.000003182
4.527000,0.024642534,0.000002616
4.529000,0.023970736,0.000004580
4.531000,0.023094779,0.000003097
4.533000,0.022404128,0.000005830
4.535000,0.022555635,0.000007942
4.537000,0.023171155,0.000007625
4.539000,0.023960911,0.000007136
4.541000,0.023560390,0.000007218
4.543000,0.022370183,0.000005590
4.545000,0.022338948,0.000004727
4.547000,0.023517275,0.000003871
4.549000,0.024959399,0.000001864
4.551000,0.026050320,0.000001603
4.553000,0.026127407,0.000001931
4.555000,0.025461305,0.000001685
4.557000,0.025054829,0.000001776
4.559000,0.024891022,0.000002953
4.561000,0.025566212,0.000004673
4.563000,0.025274231,0.000006568
